SOURCE	TARGET	COUNT	BASE
וריאיינו	וראיינו	1	0
רימזור	רמזור	4	0
ריעננו	רעננו	1	0
שריעננו	שרעננו	1	1
ריענון	רענון	37	0
בריענון	ברענון	3	37
הריענון	הרענון	6	37
וריענון	ורענון	7	37
לריענון	לרענון	11	37
מריענון	מרענון	1	37
שריענון	שרענון	1	37
והריענון	והרענון	1	37
שבריענון	שברענון	1	37
ריענונים	רענונים	1	0
ריפרוף	רפרוף	1	0
בריפרוף	ברפרוף	2	1
רישרוש	רשרוש	1	0
רישרושים	רשרושים	1	0
שיגשגה	שגשגה	1	0
ששיגשגו	ששגשגו	1	0
לשיגשוג	לשגשוג	1	0
ושיגשוגה	ושגשוגה	1	0
ולשיגשוגה	ולשגשוגה	1	0
שידרג	שדרג	15	0
ששידרג	ששדרג	1	15
שידרגת	שדרגת	1	0
שידרגה	שדרגה	1	0
שידרגו	שדרגו	14	0
ששידרגו	ששדרגו	2	14
שידרוג	שדרוג	3	0
שיחבר	שחבר	110	0
שיחברו	שחברו	56	0
שיחבור	שחבור	4	0
שיחזר	שחזר	8	0
שיחזרתי	שחזרתי	1	0
שיחזרת	שחזרת	1	0
שיחזרנו	שחזרנו	3	0
שיחזרו	שחזרו	687	0
ושיחזרו	ושחזרו	23	687
שיחזור	שחזור	648	0
ושיחזור	ושחזור	23	648
כשיחזור	כשחזור	24	648
משיחזור	משחזור	3	648
וכשיחזור	וכשחזור	2	648
שיחזורו	שחזורו	3	0
שיחלף	שחלף	1	0
שיחלפו	שחלפו	19	0
שיחלוף	שחלוף	44	0
כשיחלוף	כשחלוף	1	44
שיחרר	שחרר	9	0
שיחררת	שחררת	1	0
שיחררתם	שחררתם	2	0
שיחררו	שחררו	4	0
ושיחררו	ושחררו	3	4
שיכלל	שייכלל	9	197
ושיכלל	ושייכלל	1	197
שיכללה	שכללה	1	0
שיכללו	שכללו	44	0
ושיכללו	ושכללו	1	44
שיכלול	שכלול	213	0
ושיכלול	ושכלול	1	213
שיכלולו	שכלולו	1	0
שיכנע	שכנע	3	0
שיכנעה	שכנעה	1	0
שיכנעו	שכנעו	3	0
שיכנוע	שכנוע	2	0
שיכפל	שכפל	3	0
ושיכפל	ושכפל	1	3
שיכפלו	שכפלו	2	0
שיכפול	שכפול	8	0
שיכתב	שכתב	8	0
שיכתבנו	שכתבנו	2	0
ושיכתבנו	ושכתבנו	1	2
שיכתבו	שכתבו	293	0
ושיכתבו	ושכתבו	8	293
שיכתוב	שכתוב	425	0
ושיכתוב	ושכתוב	9	425
כשיכתוב	כשכתוב	3	425
שיכתובו	שכתובו	2	0
שילהוב	שלהוב	1	0
שילשל	שלשל	8	0
שילשלתי	שלשלתי	1	0
ששילשלתי	ששלשלתי	2	1
שילשלה	שלשלה	2	0
שילשלנו	שלשלנו	1	0
שילשלו	שלשלו	2	0
שילשול	שלשול	19	0
השילשול	השלשול	1	19
שילשולה	שלשולה	1	0
שילשולים	שלשולים	6	0
שינמך	שנמך	2	0
ושינמכו	ושנמכו	2	0
שינמוך	שנמוך	11	0
כשינמוך	כשנמוך	1	11
ששינמוך	ששנמוך	1	11
שיעבד	שעבד	125	0
ושיעבד	ושעבד	12	125
ששיעבד	ששעבד	6	125
וששיעבד	וששעבד	1	125
שיעבדתי	שעבדתי	2	0
שיעבדת	שעבדת	1	0
שיעבדה	שעבדה	5	0
ששיעבדה	ששעבדה	2	5
שיעבדו	שעבדו	525	0
ושיעבדו	ושעבדו	19	525
ששיעבדו	ששעבדו	6	525
שיעבוד	שעבוד	1494	0
בשיעבוד	בשעבוד	71	1494
השיעבוד	השעבוד	484	1494
ושיעבוד	ושעבוד	48	1494
כשיעבוד	כשעבוד	7	1494
לשיעבוד	לשעבוד	66	1494
משיעבוד	משעבוד	19	1494
ששיעבוד	ששעבוד	24	1494
ובשיעבוד	ובשעבוד	1	1494
והשיעבוד	והשעבוד	31	1494
וכשיעבוד	וכשעבוד	1	1494
ולשיעבוד	ולשעבוד	4	1494
ומשיעבוד	ומשעבוד	1	1494
שהשיעבוד	שהשעבוד	29	1494
כשהשיעבוד	כשהשעבוד	1	1494
מהשיעבוד	מהשעבוד	31	1494
שיעבודי	שעבודי	16	0
בשיעבודי	בשעבודי	1	16
לשיעבודי	לשעבודי	6	16
שיעבודו	שעבודו	48	0
לשיעבודו	לשעבודו	2	48
ששיעבודו	ששעבודו	1	48
שיעבודה	שעבודה	92	0
בשיעבודה	בשעבודה	6	92
כשיעבודה	כשעבודה	1	92
לשיעבודה	לשעבודה	8	92
משיעבודה	משעבודה	2	92
ששיעבודה	ששעבודה	12	92
ובשיעבודה	ובשעבודה	2	92
שיעבודם	שעבודם	1	0
בשיעבודם	בשעבודם	1	1
ושיעבודם	ושעבודם	4	1
ומשיעבודם	ומשעבודם	1	1
שיעבודן	שעבודן	2	0
ושיעבודן	ושעבודן	1	2
שיעבודים	שעבודים	40	0
בשיעבודים	בשעבודים	7	40
השיעבודים	השעבודים	36	40
ושיעבודים	ושעבודים	3	40
לשיעבודים	לשעבודים	1	40
ששיעבודים	ששעבודים	1	40
ובשיעבודים	ובשעבודים	1	40
והשיעבודים	והשעבודים	1	40
מהשיעבודים	מהשעבודים	1	40
שיעמם	שעמם	2	0
שיעממתי	שעממתי	2	0
שיעממת	שעממת	1	0
שיעממנו	שעממנו	2	0
שיעממו	שעממו	3	0
ששיעממו	ששעממו	1	3
שיעמום	שעמום	53	0
בשיעמום	בשעמום	6	53
השיעמום	השעמום	15	53
ושיעמום	ושעמום	1	53
לשיעמום	לשעמום	1	53
משיעמום	משעמום	1	53
ששיעמום	ששעמום	2	53
ובשיעמום	ובשעמום	1	53
שהשיעמום	שהשעמום	1	53
מהשיעמום	מהשעמום	2	53
שיערך	שערך	54	0
ושיערך	ושערך	1	54
ששיערך	ששערך	2	54
ששיערכנו	ששערכנו	1	0
שיערכו	שערכו	37	0
ושיערכו	ושערכו	1	37
שיערוך	שערוך	55	0
השיערוך	השערוך	10	55
ושיערוך	ושערוך	2	55
כשיערוך	כשערוך	2	55
לשיערוך	לשערוך	1	55
שהשיערוך	שהשערוך	1	55
שיערוכים	שערוכים	2	0
ושיעשע	ושעשע	1	0
שיעתק	שעתק	1	0
ושיעתק	ושעתק	1	1
שיעתקו	שעתקו	4	0
שיעתוק	שעתוק	14	0
בשיעתוק	בשעתוק	1	14
השיעתוק	השעתוק	7	14
לשיעתוק	לשעתוק	4	14
ששיעתוק	ששעתוק	2	14
לשיעתוקם	לשעתוקם	1	0
שיעתוקים	שעתוקים	1	0
שיפצר	שפצר	1	0
שיפצרו	שפצרו	1	0
ושיפצרו	ושפצרו	1	1
שיפצור	שפצור	2	0
שיפצורים	שפצורים	2	0
שיפשף	שפשף	5	0
ושיפשפת	ושפשפת	1	0
שיפשפנו	שפשפנו	1	0
ושיפשפנו	ושפשפנו	1	1
שיפשפו	שפשפו	1	0
שיפשוף	שפשוף	3	0
השיפשוף	השפשוף	1	3
ושיפשוף	ושפשוף	1	3
שיפשופים	שפשופים	2	0
ולשיפשופים	ולשפשופים	1	2
שיקלט	שקלט	11	0
ושיקלט	ושקלט	1	11
שיקלטתי	שקלטתי	1	0
שיקלטת	שקלטת	1	0
שיקלטנו	שקלטנו	1	0
שיקלטו	שקלטו	54	0
שיקלוט	שקלוט	51	0
שיקלל	שקלל	27	0
שיקללנו	שקללנו	1	0
שיקללו	שקללו	21	0
שיקלול	שקלול	10	0
בשיקלול	בשקלול	1	10
השיקלול	השקלול	2	10
ובשיקלול	ובשקלול	1	10
שיקלולה	שקלולה	1	0
שיקשק	שקשק	1	0
שיקשקו	שקשקו	1	0
שיקשוק	שקשוק	9	0
שירבב	שרבב	1	0
שירבבת	שרבבת	1	0
שירבבו	שרבבו	6	0
ששירבבו	ששרבבו	1	6
שירבט	שרבט	2	0
שירבטה	שרבטה	1	0
שירבוט	שרבוט	1	0
שירטט	שרטט	8	0
שירטטנו	שרטטנו	2	0
שירטטו	שרטטו	3	0
שירטוט	שרטוט	3	0
השירטוט	השרטוט	3	3
שירטוטים	שרטוטים	1	0
השירטוטים	השרטוטים	1	1
שיריין	שריין	12	0
ושיריין	ושריין	1	12
ששיריינתי	ששריינתי	1	0
שירייננו	שרייננו	1	0
שיריינתם	שריינתם	1	0
שיריינו	שריינו	1	0
ששיריינו	ששריינו	1	1
שיריון	שריון	19	0
בשיריון	בשריון	5	19
השיריון	השריון	8	19
ושיריון	ושריון	2	19
לשיריון	לשריון	1	19
לשיריוני	לשריוני	1	0
שיריונה	שריונה	1	0
שיריונים	שריונים	1	0
שירשור	שרשור	15	0
השירשור	השרשור	7	15
מהשירשורים	מהשרשורים	1	0
תיארך	תארך	24	0
ותיארך	ותארך	1	24
שתיארך	שתארך	1	24
תיארכה	תארכה	1	0
תיארכנו	תארכנו	7	0
ותיארכנו	ותארכנו	1	7
שתיארכנו	שתארכנו	2	7
תיארכו	תארכו	14	0
שתיארכו	שתארכו	1	14
כשתיארכו	כשתארכו	3	14
תיארוך	תארוך	93	0
בתיארוך	בתארוך	11	93
התיארוך	התארוך	62	93
ותיארוך	ותארוך	2	93
לתיארוך	לתארוך	14	93
והתיארוך	והתארוך	5	93
שהתיארוך	שהתארוך	4	93
מהתיארוך	מהתארוך	1	93
תיארוכו	תארוכו	2	0
תיארוכה	תארוכה	1	0
שתיארוכם	שתארוכם	1	0
תיארוכים	תארוכים	14	0
בתיארוכים	בתארוכים	1	14
התיארוכים	התארוכים	3	14
לתיארוכים	לתארוכים	1	14
מהתיארוכים	מהתארוכים	1	14
תיגבר	תגבר	1	0
תיגמל	תגמל	2	0
תיגמלו	תגמלו	2	0
תידלק	תדלק	18	0
ותידלק	ותדלק	1	18
שתידלק	שתדלק	7	18
תידלוק	תדלוק	1	0
תיחקר	תחקר	12	0
ותיחקר	ותחקר	3	12
שתיחקר	שתחקר	2	12
תיחקרו	תחקרו	1	0
תיכלל	תכלל	75	0
ותיכלל	ותכלל	6	75
שתיכלל	שתכלל	6	75
תיכללו	תכללו	1	0
תיכנן	תכנן	3	0
ותיכנן	ותכנן	4	3
תיכננתי	תכננתי	1	0
שתיכננתי	שתכננתי	1	1
תיכננו	תכננו	3	0
ותיכננו	ותכננו	1	3
תיכנון	תכנון	4	0
בתיכנון	בתכנון	1	4
התיכנון	התכנון	1	4
ותיכנון	ותכנון	1	4
התיכנונים	התכנונים	1	0
תיכנת	תכנת	3	0
שתיכנת	שתכנת	1	3
בתימלולים	בתמלולים	1	0
תימרון	תמרון	3	0
בתימרון	בתמרון	4	3
התימרון	התמרון	4	3
והתימרון	והתמרון	1	3
תימרור	תמרור	3	0
התימרור	התמרור	5	3
ותימרור	ותמרור	1	3
תיסכל	תסכל	1	0
תיעדף	תעדף	4	0
שתיעדף	שתעדף	2	4
תיעדפה	תעדפה	4	0
תיעדפנו	תעדפנו	4	0
תיעדפו	תעדפו	4	0
תיעדוף	תעדוף	114	0
בתיעדוף	בתעדוף	16	114
התיעדוף	התעדוף	32	114
ותיעדוף	ותעדוף	6	114
לתיעדוף	לתעדוף	7	114
ובתיעדוף	ובתעדוף	2	114
והתיעדוף	והתעדוף	3	114
שבתיעדוף	שבתעדוף	1	114
שהתיעדוף	שהתעדוף	3	114
מהתיעדוף	מהתעדוף	2	114
בתיעדופי	בתעדופי	1	0
תיעדופם	תעדופם	1	0
תיעדופים	תעדופים	2	0
בתיעדופים	בתעדופים	1	2
שתיעתע	שתעתע	1	0
תיעתעו	תעתעו	1	0
תיעתקו	תעתקו	7	0
לתיעתוק	לתעתוק	1	0
תיפעל	תפעל	7	0
שתיפעל	שתפעל	1	7
ותיפעול	ותפעול	1	0
ותיקנן	ותקנן	1	0
תיקנון	תקנון	12	0
בתיקנון	בתקנון	1	12
התיקנון	התקנון	2	12
תיקצב	תקצב	2	0
שתיקצב	שתקצב	1	2
תיקצרו	תקצרו	2	0
תיקצור	תקצור	1	0
תיקשר	תקשר	21	0
ותיקשר	ותקשר	9	21
שתיקשר	שתקשר	2	21
תיקשרו	תקשרו	1	0
תיקתק	תקתק	1	0
ותירבות	ותרבות	1	0
תירגל	תרגל	1	0
תירגול	תרגול	2	0
בתירגול	בתרגול	1	2
תירגמו	תרגמו	3	0
שתירגמו	שתרגמו	1	3
שתירגום	שתרגום	2	0
אֹתו	אותו	33	0
ואֹתו	ואותו	2	33
אֹתם	אותם	30	0
אדוה	אדווה	182	0
ואדוה	ואדווה	1	182
לאדוה	לאדווה	3	182
אדרש	אידרש	214	0
ואדרש	ואידרש	1	214
שאדרש	שאידרש	6	214
לכשאדרש	לכשאידרש	1	214
אהרן	אהרון	1878	0
באהרן	באהרון	4	1878
ואהרן	ואהרון	177	1878
לאהרן	לאהרון	44	1878
מאהרן	מאהרון	10	1878
שאהרן	שאהרון	96	1878
ולאהרן	ולאהרון	5	1878
ושאהרן	ושאהרון	1	1878
כשאהרן	כשאהרון	3	1878
שכשאהרן	שכשאהרון	1	1878
אוירית	אווירית	1	0
אומַר	אומר	99	0
ואומַר	ואומר	4	99
שאומַר	שאומר	2	99
אופיה	אופייה	142	0
באופיה	באופייה	17	142
ואופיה	ואופייה	8	142
לאופיה	לאופייה	14	142
מאופיה	מאופייה	1	142
שאופיה	שאופייה	1	142
ובאופיה	ובאופייה	3	142
ולאופיה	ולאופייה	4	142
ומאופיה	ומאופייה	2	142
אותכם	אתכם	347	0
באותכם	באתכם	2	347
ואותכם	ואתכם	23	347
לאותכם	לאתכם	3	347
מאותכם	מאתכם	3	347
שאותכם	שאתכם	4	347
כשאותכם	כשאתכם	1	347
אותכן	אתכן	1	0
שאותכן	שאתכן	1	1
אטי	איטי	140	0
אטיות	איטיות	19	0
באטיות	באיטיות	57	19
האטיות	האיטיות	48	19
ואטיות	ואיטיות	1	19
לאטיות	לאיטיות	1	19
ובאטיות	ובאיטיות	6	19
והאטיות	והאיטיות	2	19
שבאטיות	שבאיטיות	1	19
שהאטיות	שהאיטיות	1	19
אטיים	איטיים	23	0
האטיים	האיטיים	5	23
לאטיים	לאיטיים	1	23
מאטיים	מאיטיים	3	23
והאטיים	והאיטיים	1	23
ומאטיים	ומאיטיים	1	23
אטית	איטית	47	0
האטית	האיטית	7	47
ואטית	ואיטית	2	47
לאטית	לאיטית	1	47
מאטית	מאיטית	1	47
אילה	איילה	560	0
אימא'לה	אימאלה	5	0
אימאל'ה	אימאלה	12	0
שאימאל'ה	שאימאלה	1	12
איצטדיון	אצטדיון	38	0
באיצטדיון	באצטדיון	61	38
האיצטדיון	האצטדיון	35	38
ואיצטדיון	ואצטדיון	1	38
לאיצטדיון	לאצטדיון	30	38
מאיצטדיון	מאצטדיון	4	38
שהאיצטדיון	שהאצטדיון	1	38
מהאיצטדיון	מהאצטדיון	1	38
איצטדיונים	אצטדיונים	10	0
באיצטדיונים	באצטדיונים	9	10
האיצטדיונים	האצטדיונים	3	10
ואיצטדיונים	ואצטדיונים	1	10
לאיצטדיונים	לאצטדיונים	3	10
והאיצטדיונים	והאצטדיונים	1	10
איצטלה	אצטלה	7	0
באיצטלה	באצטלה	1	7
לאיצטלה	לאצטלה	1	7
שאיצטלה	שאצטלה	1	7
אכנס	איכנס	4035	0
ואכנס	ואיכנס	11	4035
שאכנס	שאיכנס	12	4035
אלהי	אלוהי	58	0
אלהיך	אלוהיך	75	0
ואלהיך	ואלוהיך	8	75
מאלהיך	מאלוהיך	11	75
שאלהיך	שאלוהיך	1	75
אלהיכם	אלוהיכם	33	0
לאלהיכם	לאלוהיכם	1	33
אלהים	אלוהים	127	0
האלהים	האלוהים	17	127
ואלהים	ואלוהים	1	127
לאלהים	לאלוהים	7	127
שאלהים	שאלוהים	1	127
והאלהים	והאלוהים	1	127
כשאלהים	כשאלוהים	1	127
אלהינו	אלוהינו	51	0
לאלהינו	לאלוהינו	1	51
אלחם	אילחם	188	0
ואלחם	ואילחם	6	188
שאלחם	שאילחם	7	188
אליישיב	אלישיב	55	0
באליישיב	באלישיב	1	55
ואליישיב	ואלישיב	2	55
שאליישיב	שאלישיב	8	55
כשאליישיב	כשאלישיב	1	55
אללוף	אלאלוף	1	0
אללי	אלליי	22	0
ואללי	ואלליי	1	22
לאללי	לאלליי	2	22
שאללי	שאלליי	1	22
כשאללי	כשאלליי	1	22
אמא	אימא	6872	0
באמא	באימא	34	6872
האמא	האימא	716	6872
ואמא	ואימא	285	6872
כאמא	כאימא	18	6872
לאמא	לאימא	271	6872
מאמא	מאימא	88	6872
שאמא	שאימא	113	6872
ובאמא	ובאימא	10	6872
והאמא	והאימא	68	6872
ולאמא	ולאימא	59	6872
ומאמא	ומאימא	11	6872
ושאמא	ושאימא	1	6872
שבאמא	שבאימא	1	6872
שהאמא	שהאימא	70	6872
כשאמא	כשאימא	13	6872
כשהאמא	כשהאימא	6	6872
וכשאמא	וכשאימא	3	6872
וכשהאמא	וכשהאימא	1	6872
מהאמא	מהאימא	13	6872
שכשאמא	שכשאימא	4	6872
אמא'לה	אימאלה	1	0
מאמא'לה	מאימאלה	1	1
אמאל'ה	אימאלה	1	0
מאמאל'ה	מאמאלה	1	0
אמהּ	אימה	1	0
אמהות	אימהות	853	0
באמהות	באימהות	12	853
האמהות	האימהות	200	853
ואמהות	ואימהות	22	853
כאמהות	כאימהות	10	853
לאמהות	לאימהות	98	853
מאמהות	מאימהות	8	853
שאמהות	שאימהות	17	853
והאמהות	והאימהות	22	853
ולאמהות	ולאימהות	11	853
שהאמהות	שהאימהות	11	853
כשאמהות	כשאימהות	1	853
כשהאמהות	כשהאימהות	1	853
מהאמהות	מהאימהות	19	853
אמחוק	אמחק	22	0
אממה	אמה מה	367	0
מאממה	מאמה מה	1	367
אמנותי	אומנותי	116	0
האמנותי	האומנותי	48	116
ואמנותי	ואומנותי	2	116
והאמנותי	והאומנותי	1	116
אמנותיות	אומנותיות	14	0
האמנותיות	האומנותיות	10	14
ואמנותיות	ואומנותיות	1	14
אמנותיים	אומנותיים	43	0
האמנותיים	האומנותיים	24	43
אמנותית	אומנותית	113	0
באמנותית	באומנותית	1	113
האמנותית	האומנותית	65	113
ואמנותית	ואומנותית	1	113
והאמנותית	והאומנותית	1	113
אמני	אומני	311	0
אמנים	אומנים	1142	0
אמנם	אומנם	14081	0
באמנם	באומנם	2	14081
ואמנם	ואומנם	16	14081
כאמנם	כאומנם	5	14081
לאמנם	לאומנם	2	14081
מאמנם	מאומנם	2	14081
שאמנם	שאומנם	29	14081
ולאמנם	ולאומנם	3	14081
ושאמנם	ושאומנם	1	14081
שבאמנם	שבאומנם	4	14081
כשאמנם	כשאומנם	1	14081
אמתות	אמיתות	9	0
אמתי	אמיתי	186	0
אמתיות	אמיתיות	2	0
באמתיות	באמיתיות	7	2
האמתיות	האמיתיות	7	2
לאמתיות	לאמיתיות	1	2
שהאמתיות	שהאמיתיות	1	2
אמתיים	אמיתיים	12	0
באמתיים	באמיתיים	2	12
האמתיים	האמיתיים	10	12
ואמתיים	ואמיתיים	2	12
ומאמתיים	ומאמיתיים	1	12
אמתית	אמיתית	8	0
באמתית	באמיתית	1	8
האמתית	האמיתית	80	8
אנ'לא	אני לא	7	0
אנואר	אנוור	202	0
באנואר	באנוור	5	202
ואנואר	ואנוור	19	202
לאנואר	לאנוור	4	202
שאנואר	שאנוור	3	202
ואנוואר	ואנוור	1	0
אניות	אוניות	18	0
אנייה	אונייה	4	0
באנייה	באונייה	3	4
האנייה	האונייה	23	4
מאנייה	מאונייה	1	4
שבאנייה	שבאונייה	1	4
מהאנייה	מהאונייה	3	4
אניית	אוניית	2	0
באניית	באוניית	2	2
מאניית	מאוניית	1	2
אנרגית	אנרגיית	13	0
ואנרגית	ואנרגיית	1	13
לאנרגית	לאנרגיית	1	13
מאנרגית	מאנרגיית	1	13
ולאנרגית	ולאנרגיית	1	13
אסיפה	אספה	74	0
באסיפה	באספה	21	74
האסיפה	האספה	46	74
ואסיפה	ואספה	3	74
כאסיפה	כאספה	2	74
לאסיפה	לאספה	13	74
מאסיפה	מאספה	1	74
ובאסיפה	ובאספה	2	74
והאסיפה	והאספה	4	74
מהאסיפה	מהאספה	1	74
אסיפות	אספות	17	0
באסיפות	באספות	5	17
האסיפות	האספות	6	17
לאסיפות	לאספות	2	17
ובאסיפות	ובאספות	1	17
והאסיפות	והאספות	1	17
שהאסיפות	שהאספות	1	17
אסיפת	אספת	42	0
באסיפת	באספת	4	42
ואסיפת	ואספת	2	42
כאסיפת	כאספת	1	42
לאסיפת	לאספת	8	42
שאסיפת	שאספת	2	42
אפגש	איפגש	200	0
ואפגש	ואיפגש	1	200
שאפגש	שאיפגש	1	200
אפייני	אופייני	4	0
האפייניות	האופייניות	1	0
אפייניים	אופייניים	1	0
מהאפייניים	מהאופייניים	1	1
אפיינית	אופיינית	4	0
אפלייה	אפליה	7	0
האפלייה	האפליה	2	7
אפנת	אופנת	1	0
אפקי	אופקי	5	0
האפקי	האופקי	1	5
ואפקי	ואופקי	1	5
ומאפקי	ומאופקי	1	5
אפקים	אופקים	5	0
מאפקים	מאופקים	1	5
ומאפקים	ומאופקים	1	5
מהאפקים	מהאופקים	1	5
אצלהם	אצלם	223	0
באצלהם	באצלם	1	223
ואצלהם	ואצלם	7	223
שאצלהם	שאצלם	16	223
אקדמים	אקדמיים	11	0
האקדמים	האקדמיים	2	11
ארגע	אירגע	31	0
וארגע	ואירגע	1	31
ארעה	אירעה	40	0
וארעה	ואירעה	3	40
ארשם	אירשם	60	0
אשאר	אישאר	901	0
ואשאר	ואישאר	12	901
שאשאר	שאישאר	3	901
אשה	אישה	1589	0
באשה	באישה	83	1589
האשה	האישה	1525	1589
ואשה	ואישה	85	1589
כאשה	כאישה	34	1589
לאשה	לאישה	274	1589
מאשה	מאישה	39	1589
שאשה	שאישה	104	1589
ובאשה	ובאישה	4	1589
והאשה	והאישה	30	1589
ולאשה	ולאישה	18	1589
ומאשה	ומאישה	3	1589
ושאשה	ושאישה	1	1589
שבאשה	שבאישה	3	1589
שהאשה	שהאישה	55	1589
כשאשה	כשאישה	11	1589
כשהאשה	כשהאישה	2	1589
וכשאשה	וכשאישה	1	1589
מהאשה	מהאישה	12	1589
שכשאשה	שכשאישה	2	1589
אתו	איתו	4536	0
באתו	באיתו	24	4536
ואתו	ואיתו	142	4536
כאתו	כאיתו	2	4536
לאתו	לאיתו	5	4536
מאתו	מאיתו	21	4536
שאתו	שאיתו	245	4536
ובאתו	ובאיתו	25	4536
ומאתו	ומאיתו	6	4536
ושאתו	ושאיתו	17	4536
שבאתו	שבאיתו	32	4536
כשאתו	כשאיתו	3	4536
אתים	איתים	23	0
אתך	איתך	4510	0
באתך	באיתך	9	4510
ואתך	ואיתך	42	4510
לאתך	לאיתך	4	4510
מאתך	מאיתך	16	4510
שאתך	שאיתך	64	4510
ובאתך	ובאיתך	26	4510
ולאתך	ולאיתך	1	4510
ומאתך	ומאיתך	6	4510
שבאתך	שבאיתך	7	4510
כשאתך	כשאיתך	5	4510
אתנו	איתנו	3746	0
באתנו	באיתנו	8	3746
ואתנו	ואיתנו	12	3746
לאתנו	לאיתנו	2	3746
מאתנו	מאיתנו	4350	3746
שאתנו	שאיתנו	35	3746
ובאתנו	ובאיתנו	5	3746
ומאתנו	ומאיתנו	20	3746
שבאתנו	שבאיתנו	11	3746
אתקל	איתקל	73	0
כשאתקל	כשאיתקל	1	73
אתרע	איתרע	3	0
ואתרע	ואיתרע	1	3
שאתרע	שאיתרע	1	3
באמנים	באומנים	33	0
בהיעדר	בהעדר	1392	0
בוא'נה	בואנה	1657	0
ובוא'נה	ובואנה	6	1657
שבוא'נה	שבואנה	2	1657
בואנ'ה	בואנה	59	0
ובואנ'ה	ובואנה	1	59
הבוטק'ה	הבוטקה	1	0
בחשיכה	בחשכה	68	0
בטאונה	ביטאונה	2	0
שבטאונה	שביטאונה	1	2
בטחון	ביטחון	28	0
בבטחון	בביטחון	1	28
הבטחון	הביטחון	5	28
ובטחון	וביטחון	2	28
לבטחון	לביטחון	1	28
שבטחון	שביטחון	1	28
בטחונות	ביטחונות	1	0
בטחוני	ביטחוני	4	0
ובטחוני	וביטחוני	1	4
הבטחוניים	הביטחוניים	1	0
בטחונית	ביטחונית	1	0
הבטחונית	הביטחונית	1	1
בטכס	בטקס	1	0
בידיון	בדיון	41	0
בבידיון	בבדיון	2	41
הבידיון	הבדיון	3	41
לבידיון	לבדיון	2	41
בידיוני	בדיוני	6	0
שבידיוני	שבדיוני	1	6
בידיונית	בדיונית	2	0
ביחוד	בייחוד	163	0
וביחוד	ובייחוד	1	163
שביחוד	שבייחוד	3	163
ולביחוד	ולבייחוד	1	163
בינכם	ביניכם	57	0
ובינכם	וביניכם	8	57
לבינכם	לביניכם	28	57
מבינכם	מביניכם	5	57
שבינכם	שביניכם	1	57
ביננו	בינינו	45	0
וביננו	ובינינו	5	45
לביננו	לבינינו	3	45
מביננו	מבינינו	6	45
שביננו	שבינינו	3	45
מבינתים	מבינתיים	1	0
שבינתים	שבינתיים	1	0
ביצוב	בייצוב	2	0
ביצוג	בייצוג	4	0
ביתינו	ביתנו	3	0
לביתינו	לביתנו	2	3
שביתינו	שביתנו	1	3
בכהנים	בכוהנים	270	0
בכח	בכוח	7	0
בכחו	בכוחו	1	0
בלבו	בליבו	148	0
בלבי	בליבי	309	0
בלבך	בליבך	120	0
בלבכם	בליבכם	23	0
בלבם	בליבם	81	0
במלה	במילה	311	0
בסרי	בוסרי	51	0
בבסרי	בבוסרי	1	51
הבסרי	הבוסרי	15	51
לבסרי	לבוסרי	1	51
מבסרי	מבוסרי	1	51
בסריות	בוסריות	6	0
הבסריות	הבוסריות	1	6
בסריים	בוסריים	3	0
בסרית	בוסרית	1	0
הבסרית	הבוסרית	3	1
בסתו	בסתיו	1	0
בעז	בועז	103	0
ובעז	ובועז	4	103
שבעז	שבועז	3	103
בעטיה	בעטייה	6	0
ובעטיה	ובעטייה	4	6
שבעטיה	שבעטייה	12	6
בעייה	בעיה	104	0
בבעייה	בבעיה	12	104
הבעייה	הבעיה	28	104
לבעייה	לבעיה	7	104
שבעייה	שבעיה	1	104
והבעייה	והבעיה	2	104
שבבעייה	שבבעיה	1	104
שהבעייה	שהבעיה	2	104
מהבעייה	מהבעיה	1	104
בעייתים	בעייתיים	78	0
הבעייתים	הבעייתיים	14	78
כבעייתים	כבעייתיים	1	78
מבעייתים	מבעייתיים	1	78
והבעייתים	והבעייתיים	1	78
בעיקבות	בעקבות	7	0
ובעיקבות	ובעקבות	1	7
בעיתיות	בעייתיות	2	0
הבעיתיות	הבעייתיות	2	2
בעצמתו	בעוצמתו	3	0
בעשיה	בעשייה	2	0
בצדה	בצידה	172	0
בבצדה	בבצידה	1	172
ובצדה	ובצידה	11	172
שבצדה	שבצידה	29	172
בצדו	בצידו	103	0
ובצדו	ובצידו	11	103
שבצדו	שבצידו	12	103
בצדי	בצידי	74	0
ובצדי	ובצידי	5	74
בצדנו	בצידנו	8	0
ובצדנו	ובצידנו	1	8
שבצדנו	שבצידנו	1	8
בצלה	בצילה	9	0
ובצלה	ובצילה	1	9
מבצלה	מבצילה	1	9
שבצלה	שבצילה	4	9
בצלו	בצילו	51	0
ובצלו	ובצילו	2	51
לבצלו	לבצילו	1	51
שבצלו	שבצילו	3	51
בצלי	בצילי	43	0
ובצלי	ובצילי	5	43
מבצלי	מבצילי	3	43
שבצלי	שבצילי	1	43
בצלך	בצילך	40	0
ובצלך	ובצילך	3	40
שבצלך	שבצילך	1	40
בצלכם	בצילכם	10	0
בבצלכם	בבצילכם	1	10
בצלן	בצילן	9	0
בצלנו	בצילנו	35	0
ובצלנו	ובצילנו	5	35
כבצלנו	כבצילנו	1	35
שבצלנו	שבצילנו	6	35
ברכותי	ברכותיי	95	0
וברכותי	וברכותיי	6	95
